"gene_name"	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ABLIM2"	61.2115189208975	-1.03902502111411	0.217257590291123	-4.78245671289012	1.7316568535681e-06	0.000229105730669901
"ABLIM3"	21.0896735674145	0.305310577205049	0.294129296441316	1.03801484890834	0.299263142075387	0.999968143772177
"ABO"	11.3435686272772	0.317043995469394	0.392468540470014	0.807820150602917	0.419194123292304	0.999968143772177
"ABR"	202.636522649678	-0.0924739615309004	0.307328949281995	-0.300895707179376	0.763494023891587	0.999968143772177
"ABRACL"	3497.54783640224	-0.704479707635885	0.302583576421765	-2.32821528506863	0.0199006749517751	0.292408275607203
"ABT1"	2029.58033633146	0.0330867653028899	0.0686682508081588	0.481834980700552	0.629923177562837	0.999968143772177
"ABTB1"	183.240427133304	-0.0317108210734742	0.123041073382854	-0.257725491184582	0.796618771407254	0.999968143772177
"ABTB2"	695.225524680688	-0.383378545184901	0.264276414851658	-1.45067256720618	0.14687105780352	0.982068290525343
"AC000036.4"	27.2645609143825	0.659610965227379	0.225662736515291	2.92299462203271	0.00346682504253825	0.0829626896414595
"AC000068.10"	7.61675505842227	0.265300985427777	0.547992710282587	0.484132325940919	0.628291961011383	0.999968143772177
"AC000068.5"	13.4455266506283	0.159426833614614	0.277137492859401	0.575262596084374	0.56511371406793	0.999968143772177
"AC000068.9"	4.23196452055798	-0.153530880226056	0.445181431652773	-0.344872605436529	0.730190146258273	0.999968143772177
"AC000089.3"	303.361561756134	-0.0521787402417115	0.531617525419251	-0.0981509031339057	0.921812467765086	0.999968143772177
"AC000095.9"	1.43353168327193	2.04465695675529	0.787289332654593	2.59708454306258	0.00940187799798185	0.172556783762719
"AC000120.7"	6.43287307814992	0.800133020040717	0.372471932618711	2.14816996925186	0.0317002554346065	0.403717327132389
"AC000123.2"	83.0164475886457	-0.667158115709591	0.211669567125845	-3.15188491557193	0.00162220196004867	0.0465255472613394
"AC000123.3"	8.57555962631148	-1.04341707581375	0.328672180183993	-3.17464372929172	0.00150020572495664	0.0436854164693116
"AC002056.3"	89.358173741754	-0.348750057834639	0.123862562192237	-2.81562121485402	0.00486830278857955	0.107583481377252
"AC002056.5"	5.56887600581708	0.943358918275387	0.349628458008254	2.69817543929195	0.00697206866241337	0.140115155859481
"AC002059.10"	2.92835563441943	1.43076483303774	0.520108050801915	2.75089922340513	0.00594319238814513	0.125678488096773
"AC002075.4"	3.15059972150194	0.199563672926896	0.501933917831766	0.397589534871371	0.690932775906415	0.999968143772177
"AC002116.7"	12.1051570362029	-0.825111392503497	0.258682499377835	-3.18966839460728	0.00142436128753841	0.0419993352517382
"AC002117.1"	1.30508108545041	-1.0701614880171	0.82288590952166	-1.30049801027603	0.193430337779098	0.999968143772177
"AC002310.10"	4.84018453824783	-0.0394609066754787	0.469294802927735	-0.0840855394717744	0.932988421754328	0.999968143772177
"AC002310.12"	49.0999412390303	-0.447315217247281	0.154734259956463	-2.89086086929385	0.00384188163697217	0.090033630565851
"AC002310.14"	2.64334213339268	-0.462045940927251	0.533005178580952	-0.86686951552212	0.386013508088974	0.999968143772177
"AC002310.7"	4.45210034830966	0.257603710693634	0.478101905808494	0.538805027890472	0.590021393969839	0.999968143772177
"AC002365.5"	2.35385621803612	-0.372971953000412	0.529890720127451	-0.703865795027895	0.48151635460363	0.999968143772177
"AC002368.4"	2.12946035426968	0.568868490468978	0.546753147569824	1.04044849672554	0.298131580364871	0.999968143772177
"AC002398.11"	2.19969028897416	-0.651784670713613	0.871236937133401	-0.748114138569649	0.454391314636119	0.999968143772177
"AC002463.3"	61.5562717095604	0.457941203646497	0.162276677444463	2.8219779382852	0.00477284604913162	0.106116586552979
"AC002467.7"	47.4601270470274	0.0266759186366594	0.185404159142212	0.14387982858679	0.885595364394199	0.999968143772177
"AC002480.2"	21.9205022485955	0.376957101164701	0.37817088350756	0.996790386579735	0.318866265518133	0.999968143772177
"AC002480.3"	67.6909796101111	-0.215529169567161	0.266216362358715	-0.809601512309541	0.41816923863919	0.999968143772177
"AC002480.4"	1.3546138863665	-0.321485134213241	0.576055671297895	-0.558079974265182	0.57678977459534	0.999968143772177
"AC002480.5"	12.4473120371253	-0.056222712958577	0.482883303184037	-0.116431263180681	0.907310759444775	0.999968143772177
"AC002486.3"	2.96384268203413	-0.195430575069823	0.498372050570907	-0.392137911518009	0.694956316861292	0.999968143772177
"AC002519.6"	2.39495511842792	0.891994897538874	0.468133046841357	1.9054303120821	0.0567241580993154	0.579817309695052
"AC002519.8"	7.84720253997662	-0.391860104291351	0.345269838755474	-1.1349387067918	0.256401000624307	0.999968143772177
"AC002550.5"	5.07723908252941	-0.0588425604650354	0.802154589848931	-0.0733556364442385	0.941523119427255	0.999968143772177
"AC002550.6"	5.65575293139415	-0.294911240892008	0.391360549550377	-0.753553829661225	0.451117176898296	0.999968143772177
"AC003005.2"	2.43218381850778	0.30855045751627	0.573004998326743	0.538477776663872	0.59024724362089	0.999968143772177
"AC003088.1"	9.19098713770847	0.732632683684026	0.329740717833397	2.22184475274356	0.026293799123054	0.356242345197923
"AC003090.1"	3.61487990499794	-0.947220540840669	0.500288091871215	-1.89335016409806	0.0583113181815903	0.591898195431244
"AC003102.3"	144.714760314605	-0.270531294139386	0.162884081608085	-1.66088233711082	0.0967370803135019	0.792950303074252
"AC003104.1"	7.21192122588141	0.655198440704786	0.3615075031045	1.81240620202394	0.0699234552457831	0.660836128676274
"AC003665.1"	10.8401094568115	-1.20756982976637	0.354400679663301	-3.40735754489417	0.000655951391438493	0.0229432193580153
"AC003682.17"	1.30855415116554	-0.259400463569617	0.797048945274542	-0.325451109505285	0.744839679165155	0.999968143772177
"AC003973.3"	5941.67016548786	0.49456514886977	0.136859847546217	3.61366140425342	0.000301903270532829	0.0124992061528082
"AC003973.4"	1.39187876333748	-0.530859209663413	0.691387397942638	-0.767817306539129	0.442595731157276	0.999968143772177
"AC003986.7"	1.88024126182471	0.368588268991808	0.543214911707386	0.678531205694065	0.497434944890055	0.999968143772177
"AC004004.2"	34.1250465735928	0.130332293732983	0.147759589174828	0.882056416513007	0.377746299430665	0.999968143772177
"AC004019.10"	1.51514325743713	7.1683739755225e-05	0.66087782749413	0.000108467460660665	0.999913455487959	0.999968143772177
"AC004019.13"	7.25138946319851	0.256630072365691	0.303640243631099	0.845178061039494	0.398011429579102	0.999968143772177
"AC004041.2"	1.53152175342512	0.166205820893401	0.904444149291068	0.183765709605925	0.854197257739658	0.999968143772177
"AC004057.1"	74.3321318553045	0.00871235051589883	0.251421881747452	0.0346523160806274	0.972356984324482	0.999968143772177
"AC004066.3"	3.58027973480645	-0.477777505526468	0.529611585383003	-0.902128123162092	0.366988811056345	0.999968143772177
"AC004069.2"	5.66755340649086	-1.08365188512552	0.519555087727398	-2.08573048503009	0.0370030433847648	0.443992112962549
"AC004076.5"	34.6191178582603	0.036450381955273	0.172108752014458	0.211786916868765	0.832273275831307	0.999968143772177
"AC004156.3"	1.51208847190387	-0.584362731863441	0.88983055951503	-0.65671236575863	0.511365881774006	0.999968143772177
"AC004158.2"	177.347224160585	-0.0383147152382263	0.0943363029291071	-0.406150273527461	0.684632188582962	0.999968143772177
"AC004381.6"	194.268972044701	-0.531078233949575	0.174005652507258	-3.05207460963042	0.00227265604130525	0.0598243281461236
"AC004383.3"	3.46699231706499	0.418474364351723	0.476344548712329	0.878511920589742	0.379665971505265	0.999968143772177
"AC004386.4"	2.06761210772893	-0.589978695243296	0.984277993676273	-0.599402505220836	0.548904506782724	0.999968143772177
"AC004447.2"	6.00924282410429	0.592721884794909	0.56903907530447	1.04161895117267	0.29758837882358	0.999968143772177
"AC004449.6"	3.27452896367886	0.446839461106465	0.388904046070428	1.14897097528665	0.250567949092035	0.999968143772177
"AC004453.8"	115.26644611523	-0.497496979168743	0.467154213691434	-1.06495235318021	0.28689749185915	0.999968143772177
"AC004471.10"	2.23582161154664	-0.360392993431464	0.512415726958871	-0.703321491653576	0.481855420135633	0.999968143772177
"AC004485.3"	12.1576882022986	-1.01982774387204	0.408722259117097	-2.49516076289808	0.0125900075422649	0.212251484493695
"AC004490.1"	2.82190727907856	0.39807387998296	0.597939516421665	0.665742719874428	0.505575562770885	0.999968143772177
"AC004538.3"	9.67462046843129	-0.968830697424509	0.310399052359432	-3.12124244600668	0.00180089701297073	0.0502971357767117
