gene_name	LSK_F_WT_1	LSK_F_WT_2	LSK_F_KO_1	LSK_F_KO_2
Zdbf2	0	4	6	0
Adam23	0	0	0	0
Dytn	0	0	0	0
Mdh1b	0	0	0	0
Fastkd2	3024	4085	3208	3507
4933402D24Rik	3	0	0	0
Gm13749	0	0	0	0
Mir1958	0	0	0	0
Klf7	427	385	361	376
Mir6899	0	0	0	0
Creb1	2415	4103	3461	3564
Mettl21a	1774	2835	1764	1971
2810408I11Rik	140	167	123	147
Ccnyl1	117	141	215	150
Fzd5	96	57	28	70
Plekhm3	785	997	950	656
Akr1cl	0	0	0	0
Cryge	0	0	0	0
Crygd	0	0	0	0
Crygc	0	0	0	0
Crygb	0	0	0	0
Cryga	0	0	0	0
D630023F18Rik	0	0	0	10
Idh1	3702	4428	4765	4355
Pikfyve	542	605	525	506
Pth2r	0	0	0	0
Crygf	0	0	0	0
Map2	23	6	0	0
Unc80	2	6	0	0
Rpe	2791	3538	3345	2952
Kansl1l	2758	3541	3109	2783
Acadl	6237	5242	7555	4987
Myl1	0	0	0	0
Lancl1	4762	4067	4599	3183
Cps1	0	0	0	0
Erbb4	0	0	0	0
Ikzf2	1239	1530	957	1105
Spag16	74	34	0	38
Vwc2l	0	0	0	0
Bard1	169	162	205	214
Abca12	0	0	0	0
Atic	5108	4189	5430	4412
Fn1	44	57	111	61
Apol7d	0	0	0	0
Gm8883	0	0	0	0
4933417E11Rik	0	0	0	0
Mreg	21	8	3	5
Pecr	2092	1503	1530	1229
Tmem169	0	0	0	0
Xrcc5	4677	4417	3655	3683
March4	0	0	0	0
Smarcal1	3585	4538	3543	4021
Ankar	0	0	0	0
Rpl37a	424	679	618	567
Igfbp2	0	0	7	0
Igfbp5	0	6	62	22
Tnp1	0	0	0	0
1700027A15Rik	0	0	0	0
Pinc	0	0	0	0
D530049I02Rik	0	0	0	0
6030407O03Rik	0	0	0	0
Mir6351	0	0	0	0
Tns1	2470	3454	4087	3235
Rufy4	121	127	193	190
Cxcr2	220	347	396	600
Cxcr1	11	14	25	7
Mir1928	0	0	0	0
Arpc2	41245	36123	39019	35888
Gpbar1	0	0	9	5
Aamp	25258	21680	22924	21790
Pnkd	1962	1894	2004	1181
Tmbim1	7345	8204	6872	6356
Catip	24	64	0	43
Slc11a1	48	117	0	12
Ctdsp1	990	978	956	926
Mir26b	0	0	1	4
Vil1	11	3	7	0
Usp37	4138	3859	5035	3985
Rqcd1	8291	7042	10303	7704
Plcd4	10	0	18	12
Zfp142	1016	1275	1577	1008
Bcs1l	2290	2794	2001	2041
Rnf25	1541	2696	1788	1919
Stk36	109	330	136	159
Ttll4	1096	1284	1558	1304
Cyp27a1	734	1049	744	500
Prkag3	3	36	13	14
Wnt6	63	31	89	59
Wnt10a	30	26	62	10
Cdk5r2	0	0	0	0
Fev	0	0	0	0
Cryba2	0	0	0	0
Mir375	0	0	0	0
Ccdc108	0	0	0	0
Ihh	14	13	5	0
Nhej1	502	725	589	670
Slc23a3	0	12	8	3
Cnppd1	9699	10138	8883	9406
Fam134a	10006	11052	9770	9868
Zfand2b	2761	3725	2375	2643
Abcb6	1415	1639	1181	957
Atg9a	3800	4779	4020	4013
Ankzf1	2476	3206	2471	2549
Glb1l	1811	2514	2089	1935
Stk16	9393	9884	10100	8346
Tuba4a	30948	24215	39115	30551
A630095N17Rik	20	29	40	41
Dnajb2	2018	2405	1601	1635
Ptprn	62	29	75	34
Resp18	0	0	0	0
Dnpep	5249	6375	6013	4957
Des	0	0	0	0
Gm15179	0	0	0	0
Speg	291	105	80	59
Gmppa	4744	4552	4235	3647
Asic4	0	0	0	0
Chpf	576	530	450	291
Tmem198	0	14	8	0
Obsl1	4572	4757	4004	3209
Inha	346	403	195	215
Stk11ip	5190	5260	5258	5380
Slc4a3	70	140	83	34
Gm17751	0	0	0	0
Mir6343	0	0	0	0
Epha4	34	42	31	62
Mir6352	0	0	0	0
Pax3	0	0	0	0
Sgpp2	20	42	48	47
Farsb	9062	7545	9242	7503
Mogat1	0	0	0	0
Acsl3	4393	4453	5239	4359
Utp14b	230	293	361	249
Kcne4	0	0	0	0
Scg2	0	0	0	0
Ap1s3	123	273	133	248
Wdfy1	4033	7129	3557	6682
Mrpl44	3641	3586	3873	3438
Serpine2	386	248	780	274
Fam124b	36	13	14	11
Cul3	10256	10199	9826	9975
1700016L21Rik	0	2	0	0
